title,price_idr,city,district,bedrooms,bathrooms,garage,land_size_m2,building_size_m2,scraped_at
Rumah Brand New 10X20m2 Golf Island Pik Kosongan Hadap Utara,12500000000.0,Jakarta Utara,Golf Island,5.0,5.0,3.0,200.0,500.0,2026-04-28T06:10:32.565986+00:00
Rumah Tua Hitung Tanah Sunter,20500000000.0,Jakarta Utara,Sunter,6.0,6.0,7.0,748.0,680.0,2026-04-28T06:10:35.662406+00:00
Rumah Furnished 2Lantai Bagus di Sunter,3600000000.0,Jakarta Utara,Sunter,3.0,3.0,,145.0,215.0,2026-04-28T06:10:39.047927+00:00
Owner Mau Jual Cepat! Rumah Dekat Harga NJOP di Sunter Paradise,4500000000.0,Jakarta Utara,Sunter,6.0,3.0,,180.0,200.0,2026-04-28T06:10:42.716369+00:00
Rumah Minimalis Gading Arcadia Rapi Siap Huni bisa KPR,1800000000.0,Jakarta Utara,Kelapa Gading,3.0,2.0,1.0,80.0,80.0,2026-04-28T06:10:45.096655+00:00
Rumah Sunter Siap Pakai Dalam Komple,3600000000.0,Jakarta Utara,Sunter,,,,108.0,252.0,2026-04-28T06:10:47.312929+00:00
Dijual Rumah Brand New,5300000000.0,Jakarta Utara,Sunter,5.0,4.0,2.0,114.0,266.0,2026-04-28T06:10:50.628607+00:00
Dijual Rumah Standard Komplek Janur Indah Uku 11X20 Strategis Utara Dekat Mall Mkg,5400000000.0,Jakarta Utara,Kelapa Gading,4.0,3.0,2.0,220.0,285.0,2026-04-28T06:10:54.276329+00:00
Turun Harga Rumah Bagus 3Lantai Lokasi Strategis di Sunter. Siap Huni!!!!,3000000000.0,Jakarta Utara,Sunter,3.0,3.0,,96.0,200.0,2026-04-28T06:10:57.825580+00:00
Rumah Bukit Gading Villa- Kelapa Gading 3 Lantai,36000000000.0,Jakarta Utara,Kelapa Gading,10.0,,6.0,640.0,1200.0,2026-04-28T06:11:02.464983+00:00
"Rumah 3 Lantai di Pik, Full Furnished, Siap Huni",10200000000.0,Jakarta Utara,Pantai Indah Kapuk,3.0,2.0,,188.0,562.0,2026-04-28T06:11:09.032231+00:00
Di Jual Rumah Hook di Golf Island Termurah Barang Langka Super Murah Cash Keras Kondisi Baik dan Rapih Jakarta Utara,5500000000.0,Jakarta Utara,Golf Island,4.0,4.0,2.0,195.0,345.0,2026-04-28T06:11:12.569389+00:00
Cash / KPR - Rumah Pluit Siap Huni Semi Furnished,4950000000.0,Jakarta Utara,Pluit,4.0,5.0,2.0,118.0,250.0,2026-04-28T06:11:16.273399+00:00
Murah Rumah 14X15 Gading Indah Belakang Mal Hadap Timur Jalan Lebar Parkir Nyaman Tidak Terhalang Hub: 0817012xxxx,4950000000.0,Jakarta Utara,Kelapa Gading,6.0,3.0,3.0,209.0,400.0,2026-04-28T06:11:19.562638+00:00
Rumah Dijual Sudah Renovasi Kelapa Gading Permai Dekat Mall Kelapa Gading,3800000000.0,Jakarta Utara,Kelapa Gading,3.0,3.0,1.0,120.0,250.0,2026-04-28T06:11:23.263372+00:00
Rumah Dijual di Kelapa Gading Permai,2650000000.0,Jakarta Utara,Kelapa Gading,4.0,3.0,2.0,102.0,180.0,2026-04-28T06:11:26.789420+00:00
Dijual Rumah Mewah 3 Lantai di Sunter Jakarta Utara,60000000000.0,Jakarta Utara,Sunter,6.0,7.0,10.0,2078.0,1522.0,2026-04-28T06:11:29.419112+00:00
Jual Cepat Rumah di Koja Jakut Akses Jalan 2 Mobil,2900000000.0,Jakarta Utara,Koja,2.0,2.0,,177.0,300.0,2026-04-28T06:11:32.771779+00:00
Murah Jual Cepat Rumah Siap Huni 3 Lantai di Kelapa Gading Barat,3300000000.0,Jakarta Utara,Kelapa Gading,6.0,5.0,2.0,102.0,102.0,2026-04-28T06:11:35.336079+00:00
"Mk Blok 8, 200M²",6500000000.0,Jakarta Utara,Muara Karang,4.0,4.0,2.0,200.0,300.0,2026-04-28T06:11:38.800050+00:00
Rumah Bagus di Muara Karang,6500000000.0,Jakarta Utara,Muara Karang,4.0,4.0,2.0,150.0,350.0,2026-04-28T06:11:42.418959+00:00
"Rumah Baru di Blok 2, Hadap Timur",4800000000.0,Jakarta Utara,Muara Karang,4.0,5.0,2.0,120.0,200.0,2026-04-28T06:11:45.924373+00:00
Rumah Bagus Siap Huni,3300000000.0,Jakarta Utara,Muara Karang,4.0,5.0,2.0,75.0,200.0,2026-04-28T06:11:49.624258+00:00
"Siap Bangun, bisa KPR, Rumah Tua di Mk Luas 120M²",2700000000.0,Jakarta Utara,Muara Karang,4.0,3.0,,120.0,100.0,2026-04-28T06:11:52.491278+00:00
Dijual Jauh di Bawah Pasaran Rumah 4 Lantai di Walet Indah Pik,6500000000.0,Jakarta Utara,Pantai Indah Kapuk,6.0,6.0,2.0,175.0,400.0,2026-04-28T06:11:56.059172+00:00
"Rumah Golf Island Uk 10X20 Pantai Indah Kapuk, Murah Bagus Full Furnished!",8500000000.0,Jakarta Utara,Golf Island,3.0,3.0,3.0,200.0,300.0,2026-04-28T06:11:59.340350+00:00
Di Jual Cepat Dibawah NJOP. Rumah 1Lt di Klp. Gading Bcs Jakarta Utara,1400000000.0,Jakarta Utara,Kelapa Gading,3.0,2.0,1.0,150.0,126.0,2026-04-28T06:12:02.867965+00:00
Rumah Bgv Kuta Ada Pool Lift Bagus Banget Siap Huni Nego,34000000000.0,Jakarta Utara,Kelapa Gading,5.0,5.0,8.0,786.0,1500.0,2026-04-28T06:12:08.887687+00:00
